FBtr0079032	FBgn0031675
FBtr0301206	FBgn0031675
FBtr0079227	FBgn0001170
FBtr0082423	FBgn0037930
FBtr0079029	FBgn0031677
FBtr0085448	FBgn0039675
FBtr0081873	FBgn0051460
FBtr0089553	FBgn0026316
FBtr0088211	FBgn0033574
FBtr0300862	FBgn0033574
FBtr0091886	FBgn0053882
FBtr0076869	FBgn0035776
FBtr0112394	FBgn0085230
FBtr0306908	FBgn0263030
FBtr0306909	FBgn0263030
FBtr0080848	FBgn0000339
FBtr0080849	FBgn0000339
FBtr0308062	FBgn0263246
FBtr0089580	FBgn0037137
FBtr0089579	FBgn0037137
FBtr0077630	FBgn0051950
FBtr0084664	FBgn0020018
FBtr0081491	FBgn0051624
FBtr0301928	FBgn0051624
FBtr0087670	FBgn0024556
FBtr0301389	FBgn0024556
FBtr0300660	FBgn0260390
FBtr0300661	FBgn0260390
FBtr0088118	FBgn0033615
FBtr0304676	FBgn0033615
FBtr0082606	FBgn0038028
FBtr0071927	FBgn0050196
FBtr0080005	FBgn0032234
FBtr0084617	FBgn0039199
FBtr0086642	FBgn0034383
FBtr0305287	FBgn0029584
FBtr0072254	FBgn0019643
FBtr0072255	FBgn0019643
FBtr0110802	FBgn0250847
FBtr0081808	FBgn0001138
FBtr0300040	FBgn0001138
FBtr0084607	FBgn0011581
FBtr0300689	FBgn0031208
FBtr0300690	FBgn0031208
FBtr0080838	FBgn0000307
FBtr0080839	FBgn0000307
FBtr0100014	FBgn0053971
FBtr0086533	FBgn0013325
FBtr0087460	FBgn0033972
FBtr0078075	FBgn0021874
FBtr0088050	FBgn0050036
FBtr0100478	FBgn0014163
FBtr0100477	FBgn0014163
FBtr0075412	FBgn0014163
FBtr0075413	FBgn0014163
FBtr0083914	FBgn0001169
FBtr0083915	FBgn0001169
FBtr0083916	FBgn0001169
FBtr0083917	FBgn0001169
FBtr0071839	FBgn0034732
FBtr0302320	FBgn0034732
FBtr0088113	FBgn0033599
FBtr0302222	FBgn0261267
FBtr0084185	FBgn0038925
FBtr0081711	FBgn0037433
FBtr0087088	FBgn0011260
FBtr0087089	FBgn0011260
FBtr0087090	FBgn0011260
FBtr0087091	FBgn0011260
FBtr0081544	FBgn0015568
FBtr0072305	FBgn0035022
FBtr0112497	FBgn0085330
FBtr0083235	FBgn0038397
FBtr0078561	FBgn0037207
FBtr0078563	FBgn0037207
FBtr0081490	FBgn0051988
FBtr0078627	FBgn0037375
FBtr0078628	FBgn0037375
FBtr0300736	FBgn0037375
FBtr0300737	FBgn0037375
FBtr0300738	FBgn0037375
FBtr0300739	FBgn0037375
FBtr0300740	FBgn0037375
FBtr0300741	FBgn0037375
FBtr0078370	FBgn0053290
FBtr0076257	FBgn0036093
FBtr0076258	FBgn0036093
FBtr0089430	FBgn0005278
FBtr0089431	FBgn0005278
FBtr0089432	FBgn0005278
FBtr0089433	FBgn0005278
FBtr0089434	FBgn0005278
